Timestep,SimStepTime,ImageConversionTime,ImageWriteTime
570,0.166634,0.0220378,0.0184905
571,0.163297,0.0222028,0.0188558
572,0.166777,0.0221531,0.0194151
573,0.166354,0.0219808,0.0188751
574,0.166616,0.02198,0.0198419
575,0.163513,0.0220521,0.0197592
576,0.16329,0.0221454,0.0183796
577,0.211703,0.0220737,0.0192812
578,0.167603,0.0225125,0.0175193
579,0.164898,0.0221032,0.0173437
580,0.168271,0.0222472,0.0169552
581,0.165408,0.0224378,0.0177072
582,0.172688,0.0223409,0.0174388
583,0.172259,0.0220628,0.017022
584,0.169389,0.0221402,0.0153176
585,0.165628,0.0224552,0.0186528
586,0.165874,0.0222505,0.0181084
587,0.219135,0.022349,0.0168098
588,0.167774,0.0220009,0.0189833
589,0.16365,0.0221573,0.0208575
590,0.166951,0.0221083,0.0201237
591,0.163813,0.0220154,0.0267246
592,0.16362,0.0220854,0.0192292
593,0.167077,0.0222033,0.0185591
594,0.174542,0.0222908,0.0186812
595,0.179256,0.0222686,0.01654
596,0.168081,0.0221191,0.0580516
597,0.168641,0.0229913,0.028104
598,0.168535,0.0231273,0.0363939
599,0.168817,0.0227623,0.0354018
600,0.167227,0.0229908,0.0352408
601,0.169099,0.0230595,0.0335796
602,0.166901,0.0223839,0.0317379
603,0.168597,0.0230122,0.0336022
604,0.180756,0.0232206,0.0264963
605,0.168148,0.0224736,0.0308926
606,0.164321,0.0223421,0.020209
607,0.169547,0.0222598,0.0242262
608,0.165696,0.0224056,0.0254551
609,0.167352,0.0224854,0.0302234
610,0.168318,0.0223327,0.0290603
611,0.167397,0.0224768,0.029795
612,0.166552,0.0221108,0.0291083
613,0.166671,0.0222903,0.0246142
614,0.169283,0.0221362,0.018956
615,0.166439,0.0224558,0.022933
616,0.165799,0.0220822,0.0193641
617,0.168619,0.0221544,0.0158289
618,0.164215,0.0224218,0.0202777
619,0.165284,0.02222,0.0193886
620,0.172954,0.0224261,0.0182958
621,0.204609,0.0223328,0.0163884
622,0.173596,0.0226997,0.019388
623,0.18289,0.0221281,0.0201859
624,0.193928,0.0223046,0.0185211
625,0.214437,0.0226466,0.0177605
626,0.215245,0.0223397,0.0184577
